,link,brand,product,price,cosmetic_condition,internal_storage,battery_power_mah,warranty_period,warranty_type,color,main_camera_resolution_range,screen_size,ram_capacity,mobile_connection_speed,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,charging_port,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,artificial_intelligence,phone_model,video_recording_resolution,country_of_origin,radio,cpu_range,video_call,repairability,ce_compliance,importer_representative,manufacturer_info
0,https://www.trendyol.com/apple/yenilenmis-iphone-13-kirmizi-128-gb-12-ay-garantili-a-grade-p-773206964,Apple Yenilenmiş Iphone 13Kırmızı 128 Gb (12 AY GARANTİLİ) A Grade,Yenilenmiş Iphone 13,32.999 TL,A seviye-Mükemmel,128 GB,3000 - 4000,1 Yıl,İthalatçı Garantili,Gri,10 - 15 MP,6 inç ve üstü,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,,Yok,,,İthalatçı Garantili,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.trendyol.com/hiking/a40-4gb-ram-128gb-hafiza-6-52-mor-akilli-telefon-turkiye-garantili-p-754871968,"Hikıng A40 4gb Ram, 128gbHafıza, 6.52"" Mor Akıllı Telefon (TÜRKİYE GARANTİLİ)","A40 4gb Ram, 128gb",4.999 TL,,128 GB,5000,2 Yıl,Resmi Distribütör Garantili,Mor,20 - 40 MP,6 - 8 inç,6 GB,4G,5 MP ve altı,1,HD+,FHD+,8 MP ve üstü,5 - 10 MP,LCD,Var,Var,LCD,3,6.5'' - 7'',Android,Var,Yok,Yok,Var,USB Type-C,Yok,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Yok,Yok,Yok,,,,,,,,,,
3,https://www.trendyol.com/alcatel/3-16-gb-mavi-cep-telefonu-2-yil-turkiye-garantili-p-32375140,Alcatel 3 16 Gb Mavi CepTelefonu (2 Yıl  Türkiye Garantili),,4.499 TL,,16 GB,3000 - 4000,2 Yıl,Resmi Distribütör Garantili,Beyaz,10 - 15 MP,"5,5 - 6 inç",2 GB,4.5G,10 - 15 MP,1,HD+,HD+,5 - 8 MP,5 MP ve altı,LCD,Var,Yok,LCD,1,5'' - 5.5'',Android,Yok,Yok,Yok,Var,Micro-USB,Var,60 Hz,3.5 mm,10-20 W,Var,2000-3000 mAh,Var,Yok,,Alcatel 3,1080p (Full HD),,,,,,,,
4,https://www.trendyol.com/apple/yenilenmis-iphone-13-mini-512-gb-yildiz-isigi-cep-telefonu-12-ay-garantili-a-kalite-p-892546331,Apple Yenilenmiş iPhone 13Mini 512 GB Yıldız Işığı Cep Telefonu (12 Ay Garantili) - A Kalite,,31.249 TL,A seviye-Mükemmel,512 GB,,,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.trendyol.com/apple/yenilenmis-iphone-14-plus-512-gb-mavi-cep-telefonu-12-ay-garantili-a-kalite-p-892546173,Apple Yenilenmiş iPhone 14Plus 512 GB Mavi Cep Telefonu (12 Ay Garantili) - A Kalite,,51.999 TL,A seviye-Mükemmel,512 GB,,,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.trendyol.com/apple/yenilenmis-14-512-gb-kirmizi-cep-telefonu-12-ay-garantili-b-kalite-p-892541902,Apple Yenilenmiş 14 512 gbKırmızı Cep Telefonu (12 Ay Garantili) - B Kalite,,49.949 TL,B seviye-Çok İyi,512 GB,,,,Kırmızı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.trendyol.com/apple/yenilenmis-15-pro-256gb-naturel-titanyum-cep-telefonu-12-ay-garantili-a-kalite-p-888773169,Apple YENİLENMİŞ  15 PRO256GB NATUREL TİTANYUM CEP TELEFONU (12 AY GARANTİLİ) - A KALİTE,,71.999 TL,A seviye-Mükemmel,256 GB,,1 Yıl,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.trendyol.com/apple/yenilenmis-iphone-15-plus-128-gb-pembe-cep-telefonu-12-ay-garantili-c-kalite-p-885882072,Apple Yenilenmiş iPhone 15Plus 128 GB Pembe Cep Telefonu (12 Ay Garantili) - C Kalite,,55.899 TL,C seviye-İyi,128 GB,,,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.trendyol.com/apple/iphone-13-red-128gb-yenilenmis-b-kalite-12-ay-garantili-p-882280158,Apple iPhone 13 Red 128GBYenilenmiş B Kalite (12 Ay Garantili),,28.999 TL,B seviye-Çok İyi,128 GB,,,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-s21-5g-128-gb-beyaz-b-kalite-p-867568556,Samsung YENİLENMİŞ SAMSUNGGALAXY S21  5G 128 GB BEYAZ B KALİTE,,14.599 TL,B seviye-Çok İyi,128 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Beyaz,10 - 15 MP,"6,2 inç",8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://www.trendyol.com/apple/yenilenmis-apple-iphone-11-64-gb-12-ay-delta-servis-garantili-c-kalite-p-852528261,Apple Yenilenmiş Apple iPhone11 64 GB (12 Ay Delta Servis Garantili) - C Kalite,,12.699 TL,C seviye-İyi,64 GB,3000 - 4000,1 Yıl,Delta Servis Garantili,Yeşil,10 - 15 MP,6 inç ve üstü,4 GB,,10 - 15 MP,,,,,,,,,,,,,,,,,,,,,,,3000-3500 mAh,,,,,,,,,,,,,
12,https://www.trendyol.com/apple/yenilenmis-iphone-12-pro-128-gb-grafit-cep-telefonu-12-ay-garantili-b-kalite-p-846881004,Apple Yenilenmiş iPhone 12Pro 128 GB Grafit Cep Telefonu (12 Ay Garantili) - B Kalite,,34.199 TL,B seviye-Çok İyi,128 GB,,1 Yıl,Üretici Garantili,Gri,10 - 15 MP,6 inç ve üstü,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://www.trendyol.com/apple/yenilenmis-iphone-14-pro-256gb-b-kalite-gumus-p-833042542,Apple Yenilenmiş IPHONE 14PRO 256GB -B Kalite- Gümüş,Yenilenmiş IPHONE 14,52.999 TL,B seviye-Çok İyi,256 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Gümüş,10 - 15 MP,"6,1 inç",6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://www.trendyol.com/apple/yenilenmis-iphone-13-pro-128gb-b-kalite-yesil-p-816459695,Apple Yenilenmiş IPHONE 13PRO 128GB -B Kalite- Yeşil,,43.139 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Yeşil,10 - 15 MP,"6,1 inç",6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://www.trendyol.com/apple/yenilenmis-iphone-13-256-gb-gece-yarisi-cep-telefonu-12-ay-garantili-a-kalite-p-885695715,Apple Yenilenmiş iPhone 13256 GB Gece Yarısı Cep Telefonu (12 Ay Garantili) - A Kalite,,36.549 TL,A seviye-Mükemmel,256 GB,,2 Yıl,,Mavi,10 - 15 MP,"6,8 inç",8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-s23-256-gb-yesil-cep-telefonu-12-ay-garantili-c-kalite-p-884250897,Samsung Yenilenmiş SamsungGalaxy S23 256 GB Yeşil Cep Telefonu (12 Ay Garantili) - C Kalite,,27.899 TL,C seviye-İyi,256 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Yeşil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://www.trendyol.com/infinix/smart-8-pro-8-gb-ram-8-gb-sanal-ram-128-gb-turkiye-garantili-p-814336307,INFINIX Smart 8 Pro 8 Gb Ram8 Gb Sanal Ram 128 Gb ( Türkiye Garantili),Smart 8 Pro 8 Gb Ram,6.790 TL,,128 GB,5000,2 Yıl,KVK Garantili,Siyah,40 - 60 MP,"6,6 inç",8 GB,4.5G,50 MP,1,HD+,HD+,8 MP,5 - 10 MP,LCD,Var,Var,IPS LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,USB Type-C,Yok,90 Hz,USB Type-C,10-20 W,Var,5000-6000 mAh,Var,Yok,Yok,iPhone 13 Pro Max,1080p (Full HD),,,,,,,,
18,https://www.trendyol.com/samsung/galaxy-a53-5g-beyaz-128-gb-8-gb-ram-sm-a536e-yenilenmis-urun-sifir-gibi-p-805116314,Samsung Galaxy A53 5G Beyaz128 GB 8 GB Ram (SM-A536E) YENİLENMİŞ ÜRÜN (Sıfır Gibi),,12.289 TL,A seviye-Mükemmel,128 GB,,1 Yıl,,Beyaz,20 - 40 MP,6 - 8 inç,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://www.trendyol.com/infinix/smart-8-pro-128gb-4gb-ram-cep-telefonu-p-792837456,INFINIX Smart 8 Pro 128GB +4GB Ram Cep Telefonu,,7.250 TL,,128 GB,5000,2 Yıl,KVK Garantili,Mavi,40 - 60 MP,"6,6 inç",4 GB,4.5G,50 MP,1,HD+,HD+,8 MP,5 - 10 MP,LCD,Var,Var,IPS LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,USB Type-C,Yok,90 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Yok,Yok,,1080p (Full HD),,,,,,,,
20,https://www.trendyol.com/samsung/galaxy-a14-64-gb-yesil-cep-telefonu-samsung-turkiye-garantili-p-670170453,Samsung Galaxy A14 64 GBYeşil Cep Telefonu (Samsung Türkiye Garantili),Galaxy A14 64 GB,8.999 TL,,64 GB,5000,2 Yıl,Samsung TR Garantili,Yeşil,40 - 60 MP,6 - 8 inç,4 GB,4.5G,20 MP ve üstü,1,FHD+,FHD+,13 MP,10 - 15 MP,LCD,Var,Var,PLS,3,6.5'' - 7'',Android,Var,Yok,Var,Var,USB Type-C,Yok,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Var,Yok,Var,Samsung Galaxy A14,1080p (Full HD),,,,,,,,
21,https://www.trendyol.com/infinix/smart-5-64-gb-yesil-cep-telefonu-infinix-turkiye-garantili-p-129402905,INFINIX Smart 5 64 GB YeşilCep Telefonu (Infinix Türkiye Garantili),Smart 5 64 GB Yeşil,6.999 TL,,64 GB,4000 - 5000,2 Yıl,Resmi Distribütör Garantili,Yeşil,10 - 15 MP,6 inç ve üstü,3 GB,4.5G,10 - 15 MP,1,HD+,HD+,5 -10 MP,5 - 10 MP,LCD,Var,Var,LCD,3,6'' - 6.5'',Android,Var,Yok,Var,Var,Micro-USB,Yok,60 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Yok,Yok,,1080p (Full HD),,,,,,,,
22,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-m23-128gb-b-kalite-yesil-p-859644048,Samsung Yenilenmiş SAMSUNGGALAXY M23 128GB -B Kalite- Yeşil,,8.800 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Yeşil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://www.trendyol.com/apple/yenilenmis-iphone-12-64-gb-mor-c-kalite-p-855793385,Apple Yenilenmiş iPhone 12 64 GB Mor C Kalite,,"20.893,95 TL",C seviye-İyi,64 GB,,,,Mor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://www.trendyol.com/apple/yenilenmis-iphone-12-64-gb-siyah-c-kalite-p-855793220,Apple Yenilenmiş iPhone 12 64 GB Siyah C Kalite,,"20.893,95 TL",C seviye-İyi,64 GB,,,,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,,Yok,,,İthalatçı Garantili,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,https://www.trendyol.com/apple/yenilenmis-iphone-12-64-gb-kirmizi-c-kalite-p-855793177,Apple Yenilenmiş iPhone 12 64 GB Kırmızı C Kalite,,"20.893,95 TL",C seviye-İyi,64 GB,,,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-m23-128-gb-12-ay-delta-servis-garantili-c-kalite-p-852537719,Samsung Yenilenmiş SamsungGalaxy M23 128 GB (12 Ay Delta Servis Garantili) - C Kalite,,8.800 TL,C seviye-İyi,128 GB,,1 Yıl,Delta Servis Garantili,Yeşil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://www.trendyol.com/samsung/yenilenmis-galaxy-s20-128-gb-pembe-cep-telefonu-12-ay-garantili-a-kalite-p-849049082,Samsung Yenilenmiş Galaxy S20128 Gb Pembe Cep Telefonu (12 AY GARANTİLİ) - A Kalite,,12.599 TL,A seviye-Mükemmel,128 GB,,1 Yıl,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-m23-128gb-a-kalite-yesil-p-827564007,Samsung Yenilenmiş SAMSUNGGALAXY M23 128GB -A Kalite- Yeşil,,8.800 TL,A seviye-Mükemmel,128 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Yeşil,40 - 60 MP,"6,6 inç",4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,https://www.trendyol.com/apple/yenilenmis-iphone-8-256gb-b-kalite-uzay-grisi-p-814175884,Apple Yenilenmiş IPHONE 8256GB -B Kalite- Uzay Grisi,,6.199 TL,B seviye-Çok İyi,256 GB,,1 Yıl,,Gri,10 - 15 MP,"4,7 inç",2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,https://www.trendyol.com/apple/yenilenmis-iphone-11-256gb-b-kalite-sari-p-806031994,Apple Yenilenmiş IPHONE 11256GB -B Kalite- Sarı,Yenilenmiş IPHONE 11,16.439 TL,B seviye-Çok İyi,256 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Sarı,10 - 15 MP,6 inç ve üstü,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,https://www.trendyol.com/apple/yenilenmis-iphone-11-256gb-b-kalite-kirmizi-p-803868681,Apple Yenilenmiş IPHONE 11256GB -B Kalite- Kırmızı,Yenilenmiş IPHONE 11,20.499 TL,B seviye-Çok İyi,256 GB,,1 Yıl,,Kırmızı,10 - 15 MP,6 inç ve üstü,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,https://www.trendyol.com/apple/yenilenmis-iphone-x-64gb-c-kalite-gumus-p-794602358,Apple Yenilenmiş IPHONE X64GB -C Kalite- Gümüş,,8.799 TL,C seviye-İyi,64 GB,,1 Yıl,,Gümüş,10 - 15 MP,"5,5 - 6 inç",3 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,https://www.trendyol.com/apple/yenilenmis-apple-iphone-11-pro-b-grade-p-783927605,Apple Yenilenmiş Apple iPhone11 Pro B Grade,,19.499 TL,B seviye-Çok İyi,64 GB,,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Altın,10 - 15 MP,"5,5 - 6 inç",4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,https://www.trendyol.com/apple/yenilenmis-iphone-xs-256-gb-gumus-a-grade-p-689224834,Apple Yenilenmiş Iphone Xs256 Gb Gümüş A Grade,,,A seviye-Mükemmel,256 GB,2800 ve üstü,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Gümüş,10 - 15 MP,6 inç ve üstü,4 GB,,10 - 15 MP,,,,,,,,,,,,,,,,,,,,,,,3000-3500 mAh,,,,,,,,,,,,,
36,https://www.trendyol.com/samsung/yenilenmis-galaxy-m32-128-gb-acik-mavi-b-grade-p-689214549,Samsung Yenilenmiş Galaxy M32128 Gb Açık Mavi B Grade,,8.800 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Lacivert,10 - 15 MP,6 inç ve üstü,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,https://www.trendyol.com/apple/yenilenmis-iphone-12-64-gb-c-kalite-p-655841453,Apple Yenilenmiş iPhone 12 64GB C Kalite,Yenilenmiş iPhone 12 64,"20.893,95 TL",,64 GB,,1 Yıl,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,https://www.trendyol.com/premier/air2-32gb-android-cep-telefonu-gold-p-46414801,PREMIER Air2 32gb Android CepTelefonu (GOLD),Air2 32gb Android Cep,11.710 TL,,32 GB,2400 - 3000,2 Yıl,Resmi Distribütör Garantili,Altın,10 - 15 MP,"5 - 5,5 inç",2 GB,4.5G,10 - 15 MP,1,HD,HD,5 - 8 MP,5 - 10 MP,LCD,Var,Yok,LCD,1,5'' - 5.5'',Android,Var,Yok,Yok,Var,Micro-USB,Yok,60 Hz,3.5 mm,,Var,2000-3000 mAh,Yok,Yok,,,,,,,,,,,
39,https://www.trendyol.com/samsung/yenilenmis-galaxy-a33-128-gb-mavi-cep-telefonu-12-ay-garantili-b-kalite-p-851661161,Samsung Yenilenmiş Galaxy A33128 Gb Mavi Cep Telefonu (12 AY GARANTİLİ) - B Kalite,,9.449 TL,B seviye-Çok İyi,128 GB,,1 Yıl,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-s23-256-gb-lavanta-12-ay-garantili-b-grade-p-848533702,Samsung Yenilenmiş SamsungGalaxy S23 256 GB Lavanta (12 Ay Garantili) - B Grade,,,B seviye-Çok İyi,256 GB,,1 Yıl,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,https://www.trendyol.com/apple/yenilenmis-uyumlu-iphone-14-512-gb-sari-12-ay-garantili-a-grade-p-848533276,Apple Yenilenmiş UyumluIphone 14 512 Gb Sarı (12 AY GARANTİLİ) - A Grade,,,B seviye-Çok İyi,512 GB,,2 Yıl,İthalatçı Garantili,Sarı,10 - 15 MP,"6,8 inç",8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,https://www.trendyol.com/samsung/galaxy-s25-128-gb-mint-yesili-samsung-turkiye-garantili-p-892326442,Samsung Galaxy S25 128 GBMint Yeşili (Samsung Türkiye Garantili),Galaxy S25 128 GB,46.049 TL,,128 GB,4000 - 5000,2 Yıl,Samsung TR Garantili,Yeşil,40 - 60 MP,,12 GB,,50 MP + 12 MP + 10 MP,,FHD+,Dinamik AMOLED,12 MP,10 - 15 MP,AMOLED,Var,Var,AMOLED,3,6'' - 6.5'',Android,,,Var,Var,,,,,,,4000-4500 mAh,Var,,Var,,,VN,,,,,,,
43,https://www.trendyol.com/samsung/galaxy-a54-5g-black-128-gb-8-gb-ram-yenilenmis-urun-sifir-gibi-p-876909561,Samsung Galaxy A54 5G Black128 GB 8 GB Ram YENİLENMİŞ ÜRÜN (Sıfır Gibi),,15.529 TL,B seviye-Çok İyi,128 GB,2800 ve üstü,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Siyah,100 -120 MP,6 - 8 inç,8 GB,,20 MP ve üstü,,,,,,,,,,,,,,,,,,,,,,,4500-5000 mAh,,,,,,,,,,,,,
44,https://www.trendyol.com/samsung/galaxy-a35-8-gb-128-gb-acik-mavi-5g-p-860945644,Samsung Galaxy A35 8 GB 128GB Açık Mavi 5G,Galaxy A35 8 GB 128,17.999 TL,,128 GB,,,Resmi Distribütör Garantili,Mavi,,,8 GB,5G,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,,,,,,,,,
45,https://www.trendyol.com/apple/yenilenmis-iphone-13-pro-128-gb-gumus-a-kalite-p-857137195,Apple Yenilenmiş iPhone 13Pro 128 GB Gümüş A Kalite,,54.999 TL,A seviye-Mükemmel,128 GB,,1 Yıl,,Gümüş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-m31-128-gb-siyah-cep-telefonu-12-ay-garantili-c-kalite-p-851468021,Samsung Yenilenmiş SamsungGalaxy M31 128 GB Siyah Cep Telefonu (12 Ay Garantili) - C Kalite,,6.599 TL,C seviye-İyi,128 GB,,,,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,https://www.trendyol.com/apple/iphone-14-128gb-sari-cep-telefonu-apple-turkiye-garantili-p-736178917,Apple iPhone 14 128GB SarıCep Telefonu (Apple Türkiye Garantili),,57.799 TL,,512 GB,3279,2 Yıl,Apple Türkiye Garantili,Sarı,10 - 15 MP,"6,1 inç",6 GB,5G,12 MP + 12 MP,1,FHD+,,12 MP,10 - 15 MP,AMOLED,,,AMOLED,2,6'' - 6.5'',iOS,Var,Var,Var,Var,Lightning,Var,60 Hz,Lightning,20-40 W,,3000-3500 mAh,Var,Var,Yok,iPhone 14,1080p (Full HD),,Yok,1.5-2.0 GHz,Var,,,,
48,https://www.trendyol.com/xiaomi/redmi-12c-3gb-ram-64-gb-cep-telefonu-turkiye-garantili-p-892721179,Xiaomi Redmi 12C  3gb RAM 64GB  Cep Telefonu (Türkiye Garantili),,6.199 TL,,64 GB,5000,2 Yıl,KVK Garantili,Mavi,40 - 60 MP,"6,7 inç",3 GB,4.5G,50 MP,1,,,8 MP,5 - 10 MP,,Var,,LCD,2,6.5'' - 7'',Android,Var,,,Var,Micro-USB,Yok,60 Hz,3.5 mm,10-20 W,Var,4500-5000 mAh,Var,Yok,,Xiaomi Redmi 12C,,,,,,,,,
49,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,,Yok,,,İthalatçı Garantili,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,https://www.trendyol.com/samsung/yenilenmis-samsung-galaxy-a15-128-gb-4-gb-siyah-a-kalite-p-830095187,Samsung Yenilenmiş SamsungGalaxy A15 128 GB 4 GB Siyah A KALİTE,Yenilenmiş Samsung,8.800 TL,A seviye-Mükemmel,128 GB,,2 Yıl,Resmi Distribütör Garantili,Siyah,40 - 60 MP,6 inç ve üstü,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,https://www.trendyol.com/samsung/galaxy-a12-128gb-a-grade-yenilenmis-cep-telefonu-12-ay-garantili-p-825491377,Samsung Galaxy A12 128gb AGrade Yenilenmiş Cep Telefonu (12 AY GARANTİLİ),,7.500 TL,A seviye-Mükemmel,128 GB,5000,1 Yıl,Yenilenmiş Ürün (12 Ay Garanti),Beyaz,40 - 60 MP,"6,5 inç",4 GB,,48 MP + 12 MP + 12 MP,,,,,,,,,,,,,,,,,,,,,,,5000-6000 mAh,,,,,,,,,,,,,
52,https://www.trendyol.com/apple/iphone-13-512-gb-gece-yarisi-cep-telefonu-apple-turkiye-garantili-p-154364039,Apple iPhone 13 512 GB GeceYarısı Cep Telefonu (Apple Türkiye Garantili),iPhone 13 512 GB Gece,"54.858,99 TL",,512 GB,3095,2 Yıl,Apple Türkiye Garantili,Siyah,10 - 15 MP,"6,1 inç",4 GB,5G,12 MP + 12 MP,1,FHD+,QLED,12 MP,10 - 15 MP,OLED,,,OLED,2,6'' - 6.5'',iOS,Yok,Var,Var,Var,Lightning,Var,60 Hz,Lightning,10-20 W,,3000-3500 mAh,Var,Var,Var,iPhone 13,1080p (Full HD),,Yok,2.5-3.2 GHz,Var,,,,
53,https://www.trendyol.com/apple/yenilenmis-iphone-12-128-gb-mor-cep-telefonu-12-ay-garantili-c-kalite-p-887227189,Apple Yenilenmiş iPhone 12128 GB Mor Cep Telefonu (12 Ay Garantili) - C Kalite,,25.899 TL,C seviye-İyi,128 GB,,,,Mor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,https://www.trendyol.com/apple/yenilenmis-iphone-12-128-gb-beyaz-cep-telefonu-12-ay-garantili-c-kalite-p-887227140,Apple Yenilenmiş iPhone 12128 GB Beyaz Cep Telefonu (12 Ay Garantili) - C Kalite,,25.899 TL,C seviye-İyi,128 GB,,,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,https://www.trendyol.com/apple/yenilenmis-iphone-12-128-gb-mavi-cep-telefonu-12-ay-garantili-c-kalite-p-887227115,Apple Yenilenmiş iPhone 12128 GB Mavi Cep Telefonu (12 Ay Garantili) - C Kalite,,25.899 TL,C seviye-İyi,128 GB,,,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,https://www.trendyol.com/apple/yenilenmis-iphone-12-128-gb-yesil-cep-telefonu-12-ay-garantili-c-kalite-p-887227081,Apple Yenilenmiş iPhone 12128 GB Yeşil Cep Telefonu (12 Ay Garantili) - C Kalite,,25.899 TL,C seviye-İyi,128 GB,,,,Yeşil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,https://www.trendyol.com/apple/yenilenmis-iphone-14-pro-128-gb-uzay-siyahi-b-kalite-12-ay-garantili-p-865706117,Apple Yenilenmiş Iphone 14Pro 128 Gb Uzay Siyahı B Kalite ( 12 Ay Garantili ),,"51.238,95 TL",B seviye-Çok İyi,128 GB,,1 Yıl,,Siyah,,,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,https://www.trendyol.com/apple/yenilenmis-iphone-12-pro-256-gb-altin-a-kalite-p-857137209,Apple Yenilenmiş iPhone 12Pro 256 GB Altın A Kalite,,"31.918,95 TL",A seviye-Mükemmel,256 GB,,1 Yıl,,Altın,,6 inç ve üstü,4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,https://www.trendyol.com/apple/yenilenmis-iphone-12-pro-512-gb-pasifik-mavisi-cep-telefonu-12-ay-garantili-c-kalite-p-851816678,Apple Yenilenmiş Iphone 12Pro 512 Gb Pasifik Mavisi Cep Telefonu (12 AY GARANTİLİ) - C Kalite,,37.899 TL,C seviye-İyi,512 GB,,1 Yıl,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
